[0.00010204 0.        ]	[-0.000103  0.      ]	[(31, 21, -56, 39)]	[(24, 51, -32, -43)]
[0.0001049 0.       ]	[-0.000103  0.      ]	[(34, 33, -15, -43)]	[(24, 51, -32, -43)]
[0.0001049 0.       ]	[-0.000103  0.      ]	[(-38, -46, 40, 33)]	[(24, 51, -32, -43)]
[0.00010681 0.        ]	[-0.000103  0.      ]	[(32, -35, -43, 44)]	[(24, 51, -32, -43)]
[0.00010777 0.        ]	[-0.000103  0.      ]	[(45, -51, 44, -23)]	[(24, 51, -32, -43)]
[0.00010872 0.        ]	[-0.000103  0.      ]	[(15, -31, -26, 41)]	[(24, 51, -32, -43)]
[0.00010896 0.        ]	[-0.000103  0.      ]	[(-47, -36, 51, 14)]	[(24, 51, -32, -43)]
[0.00010967 0.        ]	[-0.000103  0.      ]	[(-30, -38, 27, 31)]	[(24, 51, -32, -43)]
[0.00011063 0.        ]	[-0.000103  0.      ]	[(-50, 53, 17, -31)]	[(24, 51, -32, -43)]
[0.00011253 0.        ]	[-0.000103  0.      ]	[(25, 14, 43, -51)]	[(24, 51, -32, -43)]
[0.0001142 0.       ]	[-0.000103  0.      ]	[(-45, 55, -28, -15)]	[(24, 51, -32, -43)]
[0.00011635 0.        ]	[-0.000103  0.      ]	[(41, -36, -54, 52)]	[(24, 51, -32, -43)]
[0.00011683 0.        ]	[-0.000103  0.      ]	[(40, 41, -49, -17)]	[(24, 51, -32, -43)]
[0.00011826 0.        ]	[-0.000103  0.      ]	[(-46, 18, -26, 44)]	[(24, 51, -32, -43)]
[0.00011826 0.        ]	[-0.000103  0.      ]	[(-15, -30, -45, 53)]	[(24, 51, -32, -43)]
[0.00012016 0.        ]	[-0.000103  0.      ]	[(18, 24, -17, -21)]	[(24, 51, -32, -43)]
[0.00012016 0.        ]	[-0.000103  0.      ]	[(-32, 58, -18, -40)]	[(24, 51, -32, -43)]
[0.00012112 0.        ]	[-0.000103  0.      ]	[(23, 44, -35, -24)]	[(24, 51, -32, -43)]
[0.00012207 0.        ]	[-0.000103  0.      ]	[(-56, 17, 23, 35)]	[(24, 51, -32, -43)]
[0.00012302 0.        ]	[-0.000103  0.      ]	[(51, 51, -56, -26)]	[(24, 51, -32, -43)]
[0.00012493 0.        ]	[-0.000103  0.      ]	[(25, 17, -15, -23)]	[(24, 51, -32, -43)]
[0.00012493 0.        ]	[-0.000103  0.      ]	[(57, -21, -59, 39)]	[(24, 51, -32, -43)]
[0.00012589 0.        ]	[-0.000103  0.      ]	[(35, -21, 25, -32)]	[(24, 51, -32, -43)]
[0.00012684 0.        ]	[-0.000103  0.      ]	[(-46, 24, 50, -38)]	[(24, 51, -32, -43)]
[0.00012779 0.        ]	[-0.000103  0.      ]	[(-14, 46, -24, -16)]	[(24, 51, -32, -43)]
[0.00012827 0.        ]	[-0.000103  0.      ]	[(44, 23, -37, -20)]	[(24, 51, -32, -43)]
[0.0001297 0.       ]	[-0.000103  0.      ]	[(27, 33, -26, -24)]	[(24, 51, -32, -43)]
[0.0001297 0.       ]	[-0.000103  0.      ]	[(42, 40, 23, -56)]	[(24, 51, -32, -43)]
[0.00013161 0.        ]	[-0.000103  0.      ]	[(42, 41, -16, -49)]	[(24, 51, -32, -43)]
[0.00013351 0.        ]	[-0.000103  0.      ]	[(-19, 42, -44, 20)]	[(24, 51, -32, -43)]
[0.00013399 0.        ]	[-0.000103  0.      ]	[(17, 24, -41, 14)]	[(24, 51, -32, -43)]
[0.00013447 0.        ]	[-0.000103  0.      ]	[(-35, 23, 47, -38)]	[(24, 51, -32, -43)]
[0.00013542 0.        ]	[-0.000103  0.      ]	[(-28, 22, 43, -38)]	[(24, 51, -32, -43)]
[0.00013733 0.        ]	[-0.000103  0.      ]	[(-56, 47, -55, 59)]	[(24, 51, -32, -43)]
